Title,Price,Shipping,Condition,Is Auction?,No Best Offer
Nintendo New 3DS XL Black Handheld Console w/ Stylus & Charger *SEE DESCRIPTION,C $280.00,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black Handheld Console w/ Stylus & Charger *SEE DESCRIPTION,C $280.00,Free shipping,Pre-Owned,False,True
Nintendo New 3DS XL 4GB Handheld Gaming System - Black(240183),C $341.19,+C $29.65 shipping,Pre-Owned,False,True
Japanese Nintendo New 3DS LL/xl Console - Metallic Blue JAPANESE VERSION,C $294.13,+C $57.03 shipping estimate,Pre-Owned,False,True
*NEW* 3DS XL Console Gray/black/charcoal Super Smash Bros Game Charger Working ,C $346.04,+C $54.04 shipping estimate,Pre-Owned,False,True
New Nintendo 3DS XL  Handheld Gaming Console - Metallic Red - W/ 208 Games,C $383.67,+C $30.90 shipping,Pre-Owned,False,True
[ MINT IN BOX ] NINTENDO NEW 3DS XL LL Pearl White Console Japan Version 4281,C $315.02,+C $27.39 shipping,Pre-Owned,False,True
Nintendo New 3DS XL  Black Console - Bundle With Games And Accessories,C $308.31,+C $28.68 shipping,Pre-Owned,False,True
New Nintendo 3DS XL Handheld Console Galaxy Edition,"C $1,038.17",+C $34.61 shipping,Brand New,False,True
Nintendo New 3DS XL LL Color Metallic Blue handheld System Console Only Japan,C $161.69,Free shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL PEARL WHITE console Only Used Tested Working from Japan,C $247.08,+C $6.85 shipping,Pre-Owned,False,True
New Nintendo 3DS XL System - Metallic Red - Bundle - Top IPS - Seller's Notes!!!,C $294.60,+C $54.14 shipping,Pre-Owned,False,True
New Nintendo 3DS LL XL console Metallic Black Japanese version,C $176.76,+C $34.26 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Blue Console w/ Accessories - USA Seller,C $264.46,+C $22.38 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Blue Console *Top IPS* w/ LCD Dot USA Seller,C $231.57,+C $21.42 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Hot Pink Console *'R' Button* w/ Accessories - USA Seller,C $258.98,+C $22.23 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Black Console *Read Description* - USA Seller,C $231.57,+C $21.42 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Monster Hunter 4G Console w/ Extras- USA Seller,C $306.94,+C $23.64 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL White Console *Dual IPS* w/ Accessories - USA Seller,C $305.57,+C $23.60 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Black Console w/ Accessories - USA Seller,C $272.68,+C $22.62 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Pikachu Console *LCD* (Yellow) w/ Extras - USA Seller,C $341.19,+C $24.65 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Blue Console *Top IPS* w Accessories USA Seller,C $294.60,+C $23.27 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Black Console *Top IPS* w/ Accessories US Seller,C $280.90,+C $22.87 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Majora's Mask Edition Console Bundled w Games - US Seller,C $450.81,+C $27.88 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Blue Console *Top IPS* *A Button* w/ Extras USA Seller,C $267.20,+C $22.46 shipping,Pre-Owned,False,True
10x Lot of New Nintendo 3DS XL LL Handheld Consoles (For Repair) w/ Chargers,C $957.80,+C $47.85 shipping,Pre-Owned,False,False
New Nintendo 3DS XL LL Animal Crossing Console *Dual IPS* *R Trigger* US Seller,C $322.01,+C $24.08 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Black Console *Top IPS* w/ Accessories US Seller,C $267.20,+C $22.46 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Monster Hunter 4G Console *Top IPS* w/ Extras- USA Seller,C $300.08,+C $23.43 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Metallic Red Console *Dual IPS* w/ Accessories USA Seller,C $308.31,+C $23.68 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL Lime Green Console Bundled w/ 15x Games - US Seller,C $354.89,+C $25.05 shipping,Pre-Owned,False,True
Nintendo New 3DS XL Black In Box With Charger Stylus US Model Tested,C $356.26,+C $30.09 shipping,Pre-Owned,False,True
New Nintendo 3DS XL LL PEARL WHITE only console & Charger,C $257.59,+C $27.40 shipping,Pre-Owned,False,True
L3845 Ship Free Nintendo new 3DS LL XL console Metallic Blue Japan w/box fx,C $199.37,Free shipping,Pre-Owned,True,True
L3846 Ship Free Nintendo new 3DS LL XL console Pearl White Japan w/box,C $274.05,Free shipping,Pre-Owned,True,True
New 3DS XL/LL In-Built Loopy Capture Card w/USB-C Charging (White),C $753.62,+C $50.03 shipping,Pre-Owned,False,True
Nintendo new 3DS LL XL new 3DS Console Various IPS Used Excellent Japan,C $223.08,Free shipping,Pre-Owned,False,True
